ID,LAT,LON,TIPOLOGIA,name,LEGALE_RA,UBICAZIONE,housenumber,street,City,CODICEFISCALE,POSTILETTO
805,40.66187879,16.60902791,guest_house,La Pecora Nera,Burgi Cosimo,VIA CHIANCALATA 4-6,4-6,Via Chiancalata ,Matera,null,5
806,40.66258991,16.61135829,guest_house,Il Palazzotto del Caveoso,Spagnuolo Angelo Raffaele,VIA B. BUOZZI 39,39,Via B. Buozzi ,Matera,null,2
807,40.66288036,16.61101668,guest_house,Slow Living,Vezzoli Daniele,VIA SAN F. PAOLO VECCHIO 22-23,22-23,Via San F. Paolo Vecchio ,Matera,null,6
808,40.67031207,16.60803974,guest_house,La Stanza sui Sassi,Arianna Montemurro,VIA G. B. PENTASUGLIA 11,11,Via G. B. Pentasuglia ,Matera,null,2
809,40.64324121,16.62494136,guest_house,Villa Alba,Dartizio Rosalba,VIA T. RICCIARDI 53,53,Via T. Ricciardi ,Matera,null,4
810,40.66532461,16.61034031,guest_house,Palazzo Bernardini,Partipilo Papalia Anna Rosa,VIA ARCO DEL SEDILE 9,9,Via Arco del Sedile ,Matera,null,8
811,40.63820305,16.62320906,guest_house,B&B Zero,Mannarella Saverio Maria,CONTRADA AGNA SENZA NUMERO CIVICO,,Contrada Agna Senza Numero Civico,Matera,null,7
812,40.66751546,16.60957076,guest_house,B & B a Due Passi,Andrisani Francesco Paolo,VIA SAN GIOVANNI VECCHIO 35,35,Via San Giovanni Vecchio ,Matera,null,3
813,40.67636917,16.59623466,guest_house,Casa Maddalena Due,Persia Graziella,VIA VINCENZO PIZZILLI 5,5,Via Vincenzo Pizzilli ,Matera,null,3
814,40.6691528,16.60137467,guest_house,Le Colombine,Epifania Valentina,VIA DANTE 10,10,Via Dante ,Matera,null,4
819,40.66961,16.608905,guest_house,Mikasa,Pisciotta Vito Michele,VIA SANTA CESAREA 15,15,Via Santa Cesarea ,Matera,null,2
